Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-28 15:07:00+00:00,276.760009765625,231.3249969482422,318.7449951171875,641.2000122070312,106.91410064697266,276.92999267578125,231.33489990234375,318.8016052246094,641.2899780273438,106.9800033569336,276.5199890136719,231.1999969482422,317.9700012207031,640.3225708007812,106.8499984741211,276.5400085449219,231.24000549316406,318.68499755859375,640.3225708007812,106.86499786376953,65521,90886,86384,24199,34625
2025-11-28 15:08:00+00:00,276.6300048828125,231.2550048828125,318.510009765625,641.3900146484375,107.02999877929688,276.7900085449219,231.34429931640625,318.82000732421875,641.3900146484375,107.02999877929688,276.6099853515625,231.17849731445312,317.92999267578125,640.7849731445312,106.86000061035156,276.760009765625,231.32000732421875,318.7401123046875,641.1599731445312,106.93000030517578,53119,41446,58372,28495,31481
2025-11-28 15:09:00+00:00,276.6499938964844,231.39500427246094,318.2799987792969,642.0,107.06999969482422,276.7900085449219,231.39999389648438,318.6700134277344,642.010009765625,107.08000183105469,276.5799865722656,231.21009826660156,318.0299987792969,641.2899780273438,106.9800033569336,276.625,231.27000427246094,318.57000732421875,641.4299926757812,107.0199966430664,37095,58050,47799,22936,39715
2025-11-28 15:10:00+00:00,276.5199890136719,231.42999267578125,318.3030090332031,641.5999755859375,107.13999938964844,276.6700134277344,231.48989868164062,318.6748962402344,641.968994140625,107.1500015258789,276.5199890136719,231.38499450683594,317.95001220703125,641.469970703125,106.98999786376953,276.6700134277344,231.39500427246094,318.2799987792969,641.9223022460938,107.06999969482422,46065,31341,76122,26380,46989
2025-11-28 15:11:00+00:00,276.4200134277344,231.37109375,318.2099914550781,641.27001953125,107.23999786376953,276.5400085449219,231.4199981689453,318.4045104980469,641.5700073242188,107.25,276.3999938964844,231.27000427246094,317.7900085449219,640.8699951171875,107.08499908447266,276.5249938964844,231.4149932861328,318.29998779296875,641.5499877929688,107.13999938964844,37717,35254,84804,21790,50874
2025-11-28 15:12:00+00:00,276.6300048828125,231.27499389648438,317.8399963378906,640.9495239257812,107.33999633789062,276.6300048828125,231.41000366210938,318.20001220703125,641.3989868164062,107.3499984741211,276.3999938964844,231.27000427246094,317.6600036621094,640.9000244140625,107.20999908447266,276.44000244140625,231.38499450683594,318.20001220703125,641.3599853515625,107.25,27126,37628,50579,12879,41572
2025-11-28 15:13:00+00:00,276.7900085449219,231.40499877929688,318.0815124511719,640.8115234375,107.27999877929688,276.8399963378906,231.41000366210938,318.0899963378906,640.969970703125,107.3499984741211,276.57000732421875,231.22000122070312,317.44000244140625,640.5401000976562,107.18000030517578,276.6199951171875,231.27999877929688,317.79998779296875,640.8900146484375,107.33999633789062,36851,47947,84468,18388,47022
2025-11-28 15:14:00+00:00,276.6700134277344,231.59359741210938,318.3599853515625,641.1099853515625,107.37000274658203,276.82000732421875,231.61500549316406,318.4519958496094,641.4000244140625,107.38999938964844,276.6499938964844,231.38999938964844,317.7799987792969,640.610107421875,107.26000213623047,276.7900085449219,231.39999389648438,317.9800109863281,640.8250122070312,107.27999877929688,26873,60399,70367,19613,35867
2025-11-28 15:15:00+00:00,276.69500732421875,231.7100067138672,318.8844909667969,641.4199829101562,107.41940307617188,276.7485046386719,231.78500366210938,318.8924865722656,641.47998046875,107.48999786376953,276.5350036621094,231.59010314941406,318.19000244140625,641.1600952148438,107.37000274658203,276.69000244140625,231.61000061035156,318.30999755859375,641.239990234375,107.37000274658203,27032,41208,74945,12435,54942
2025-11-28 15:16:00+00:00,276.75,231.41990661621094,318.96990966796875,641.2100219726562,107.41000366210938,276.7984924316406,231.72999572753906,318.96990966796875,641.3900146484375,107.45999908447266,276.6499938964844,231.3800048828125,318.5799865722656,640.97998046875,107.36000061035156,276.70001220703125,231.72999572753906,318.8999938964844,641.3900146484375,107.42530059814453,25410,71043,67567,14926,26359
